Ticker,Harga Terakhir,RSI,Rel. Volume,Rata2 Nilai Transaksi 20H,Fundamental,Teknikal,Price-Volume Flow,Broker Flow,Foreign Flow,Status Broker,Status Foreign,Alasan,Skor Akhir
BUKA,112.0,76.9,0.72,17567863735.0,100,25,45,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,46.2
PANI,6450.0,69.0,1.25,26679116250.0,75,50,35,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,46.2
ITMG,24275.0,86.0,0.96,26184802625.0,90,50,30,,,Tidak ada broker summary,Tidak ada foreign flow,SMA20 di atas SMA50,46.0
BSDE,585.0,61.8,1.02,8237358075.0,85,50,30,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,45.2
GGRM,17300.0,76.1,1.08,17939449169.0,85,50,30,,,Tidak ada broker summary,Tidak ada foreign flow,SMA20 di atas SMA50,45.2
SMGR,1510.0,64.6,0.7,24473942125.0,85,50,30,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,45.2
MAPI,1515.0,51.1,0.05,96577250377.0,100,50,25,,,Tidak ada broker summary,Tidak ada foreign flow,SMA20 di atas SMA50,45.0
BBRI,3020.0,72.6,0.75,759255118600.0,100,25,40,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,43.8
TLKM,2700.0,71.9,0.98,312721802700.0,100,25,40,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,43.8
JPFA,2080.0,63.6,0.63,28032270225.0,100,50,20,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,42.5
LSIP,1340.0,90.9,0.92,8447694588.0,100,50,20,,,Tidak ada broker summary,Tidak ada foreign flow,SMA20 di atas SMA50,42.5
INDY,2550.0,82.0,1.44,37768076675.0,75,25,45,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,42.5
JSMR,2720.0,52.5,0.76,15944821300.0,85,25,40,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,41.5
ARTO,1330.0,73.2,0.66,14259294675.0,85,50,20,,,Tidak ada broker summary,Tidak ada foreign flow,SMA20 di atas SMA50,40.2
HRUM,830.0,82.1,1.42,3888054150.0,90,25,35,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,39.8
BBYB,262.0,75.5,1.35,6033666770.0,85,25,35,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,39.0
PTBA,2430.0,80.8,0.89,24792102100.0,85,25,35,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,39.0
BMRI,4420.0,74.1,0.59,647403706500.0,100,25,30,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,38.8
WIFI,2050.0,76.5,1.01,37921391933.0,100,25,30,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,38.8
BBTN,1260.0,77.4,0.95,26531081925.0,100,25,30,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,38.8
SCMA,208.0,60.0,0.77,7473865935.0,100,50,10,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,37.5
PGAS,1535.0,77.4,1.34,55592554475.0,75,25,35,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,37.5
INKP,7875.0,72.8,1.01,28759151335.0,90,25,30,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,37.2
KLBF,730.0,45.5,1.1,55973895375.0,100,15,30,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,35.2
CTRA,580.0,67.9,0.8,9762741315.0,85,50,10,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,35.2
INTP,4620.0,72.7,0.56,6014911300.0,85,50,10,,,Tidak ada broker summary,Tidak ada foreign flow,SMA20 di atas SMA50,35.2
AALI,6475.0,91.7,0.67,6715550375.0,100,25,20,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,33.8
PWON,270.0,72.7,0.74,10446480670.0,100,25,20,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,33.8
BDMN,4170.0,78.9,0.78,4871993100.0,100,25,10,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,28.8
MTEL,454.0,40.9,0.78,23260632510.0,100,0,20,,,Tidak ada broker summary,Tidak ada foreign flow,Tidak ada sinyal kuat,25.0
